id,keyword_density
2,3.0
3,0.0
9,3.0
16,1.0
17,1.0
18,4.0
20,4.0
21,4.0
23,2.5
27,1.0
34,8.0
35,2.75
37,1.0
38,5.0
48,5.0
51,0.0
65,8.0
69,1.0
75,0.0
81,0.0
85,1.0
88,2.0
90,0.0
92,0.0
101,1.0
105,2.0
106,2.0
113,3.0
114,2.0
117,5.0
120,2.5
122,3.5
123,5.0
125,5.0
127,2.0
136,1.0
138,4.0
143,2.0
147,0.0
149,2.0
150,0.0
157,2.0
158,2.0
162,3.0
164,0.0
165,4.0
166,2.0
172,0.0
177,1.5
178,2.0
179,2.3333333333333335
181,1.0
182,2.0
186,4.0
191,2.0
193,2.0
195,0.0
201,4.0
202,3.3333333333333335
203,4.0
205,3.0
210,1.5
214,1.6666666666666667
215,1.5
223,0.0
226,1.0
227,3.0
233,2.5
241,1.0
245,1.0
255,2.0
257,0.0
259,5.0
261,2.0
266,5.0
270,0.0
272,0.0
275,1.5
276,1.5
284,2.3333333333333335
290,3.0
293,2.0
294,1.6666666666666667
297,0.0
305,0.0
314,9.0
318,5.5
319,7.0
323,3.0
327,3.0
331,3.0
334,2.0
335,2.0
340,0.0
341,5.0
343,8.0
346,3.0
347,0.0
350,13.0
351,0.0
354,3.0
355,1.0
359,2.0
361,6.0
363,3.5
365,6.0
373,2.0
374,2.0
375,2.0
385,0.0
389,4.0
397,0.0
400,1.0
401,2.0
402,2.6666666666666665
403,1.3333333333333333
407,6.0
408,6.0
411,0.0
413,6.0
418,4.0
421,5.0
422,2.6666666666666665
440,7.333333333333333
444,5.5
445,5.5
446,5.0
447,6.0
452,5.75
454,5.75
455,6.0
456,8.5
458,8.5
459,8.5
461,2.0
468,2.5
469,3.5
470,2.0
473,4.0
475,8.0
476,4.5
478,4.5
479,2.0
480,4.0
481,4.0
485,0.0
491,1.5
492,1.0
497,2.5
500,4.0
501,0.0
508,1.0
511,1.0
516,1.0
517,0.0
524,2.5
533,2.0
536,4.0
542,0.0
544,1.0
549,4.0
551,8.0
557,3.0
559,3.0
562,8.0
563,6.333333333333333
568,4.0
571,4.0
