term,idfscore
joint,2.8421741945034307
outdoor,1.1820180082266842
look,0.7692676068409557
zmax,7.497376009749019
common,2.5704374340949734
angle,2.6586815563921573
alonehelp,8.553428683998332
10d,5.879280034571805
resistance,2.202106762260319
straight,3.111552245478929
thickness,2.7069899089406086
also,1.0212066447611567
inmade,4.877128012091257
home,0.4659036456384282
resistanceinstall,5.526924751777588
numberversatile,8.553428683998332
strongtie,4.695334020595743
lightduty,4.932426652287482
wide,1.4724556624717118
present,3.649080260420034
extra,2.0289490307521074
model,2.028765662272635
sd,4.893077313498934
strong,2.121493919583496
screw,1.7046275478598665
end,2.02236885712828
need,0.9039741838740848
make,0.1167408072417455
use,-0.3433817525575386
repair,2.8056293239253574
projectsstronger,8.553428683998332
project,1.7664296061519955
connector,2.851731715833153
moisture,2.315104058958825
bent,5.59591762326454
simpson,4.60459170544747
corrosion,2.0799238645561133
consistent,3.1153493750751373
variety,1.4054760991361586
strongdrive,5.451086675386084
z,5.923340024365834
skew,7.167134322878442
nail,2.6116140455341714
sizes,4.348736064607367
nailing,5.508906246274909
match,1.540412894358703
structural,3.471248222738981
ensure,1.528112616277051
offer,0.6262847151384734
12gauge,5.304994056888588
job,2.4383647159125275
fasten,3.0603672406577846
handle,1.2304229961732345
zinccoated,6.443215483651743
consistently,5.230192843805889
corner,2.295282283561657
steelgalvanized,5.2857626949607
connection,2.266965148475713
various,2.9005010033937806
strongdimensions,8.686960076622855
provide,0.0211991077559821
co,2.407634901576501
display,2.4405764945305286
state,1.9494848593978604
may,0.9143878275651972
old,2.997566339418754
slipresistant,4.371378541357126
concrete,2.289078493681327
surfaceactual,4.830751850301106
price,1.949823670175284
product,0.5426956588384462
deck,2.245330242488802
wood,0.916495690672126
peel,3.3083802463296363
advance,2.925807570307696
finishfor,5.056921122531852
mildew,2.30635339543864
patios,4.719367220039898
splinter,4.471662903983092
bring,2.210647271853158
back,1.4040025490881023
prepare,3.726115447029615
storesonline,7.742498467782004
sidewalks100,6.782722623968111
innovative,2.6873147974246794
appropriate,4.506001041563984
coating,3.0911871257960577
include,0.0806315748849223
resin,3.2576144476684146
solid,1.4668998014379266
textured,3.0131460118954987
coat,1.5586932785148575
properly,3.471248222738981
onscreen,2.511092806517094
inprovides,6.458482955782531
formula,2.4369848343633724
informationrevives,6.782722623968111
dock,4.352474386717974
sure,2.342326724905429
weather,1.8836133855731627
acrylic,2.251038672192608
deckover,6.7616692147702775
abovecalifornia,6.804228829189074
great,0.966308261930036
create,1.1221290088424305
vary,1.3376373866840234
porch,3.583615384422332
railing,4.418262127255977
paint,1.1684304182673313
result,2.454231437087469
available,1.0839883309593965
rejuvenate,5.370180036773284
ri,2.4621188019206346
best,1.7685475031667304
vt,2.5992117977920186
pool,3.3156578173183298
seenbspproposition,0.6781668817577703
behr,2.984130436721926
tire,3.88411067818649
ct,2.4328565775027355
tinted,6.473987142318497
resident,0.6749891893117091
care,1.9537282672759135
composite,2.997566339418754
whole,3.739213871075533
boat,4.093284270060499
galloncreates,6.782722623968111
ca,2.4119290573967795
coatingresists,6.7616692147702775
conceals,5.212335226405883
worn,4.045320210853372
mn,2.4649508627203534
life,1.6334978290860624
applicable,3.658391314653124
follow,2.092546616873077
printer,2.590492220504889
finishcovers,5.583014218428632
crack,2.507535138963879
new,1.4435492209260614
premium,1.833962733589942
fee,2.371860439654341
resistant,1.0502768797999351
representationscolors,7.8602815034383875
surface,0.8432795198221533
color,0.6593436823620663
durable,0.7958964772003803
per,1.311167385848525
store,1.52555975402153
allow,0.667817317483886
line,1.4960687570368565
clean,0.7908326354582633
integrated,4.183980831531311
csa,3.150751302126053
narrow,4.002186840035797
sleek,2.366191782372273
modular,4.006152476429144
blend,2.526054186731116
feature,0.1513938507200327
vikrell,5.691227803068864
curve,3.089596878972723
design,-0.1974918522717592
series,2.1316031848121906
shelve,3.4947971916338214
around,2.144488116116051
storage,1.4505178902421547
classic,1.794608542792517
perfect,0.9725376235437442
shelvesslightly,9.939723045118225
doorway,4.585498046631891
ansi,3.1142630088629164
architecture,4.711291806034353
tighter,6.190218969187852
b451,6.871670109984606
cleanconforms,8.067920868216632
ease,2.138945661201286
standardscurve,10.632870225678168
material,1.1499106589272508
gentle,4.09762895466451
ensemble,5.656136483257594
smooth,1.4130746949312307
shelf,2.0474577952847874
bath,2.163607568019481
spacesdesigned,5.670025595418261
contemporary,2.17118974419219
consensus,6.625537040445698
move,2.6855451986617056
national,3.995612194393712
accessory,1.9013724316149256
highgloss,4.446661601777675
aprondurable,8.553428683998332
shiny,4.646418220393731
finish,0.1658887008089662
wall,0.8707734413340309
easy,-0.0673133830464634
z12412,6.8952006073948
meet,1.775212776371181
saving,3.3521730302934274
reliability,3.608221195224533
panel,1.55275244075196
transmittance,8.147963575890168
temper,3.016586664097784
antisoiling,9.53425793701006
lead,1.625748236208926
durability,1.231661590939565
conversion,4.377120183924802
tolerance,4.760752436202753
electroluminescence,9.939723045118225
environmentscertified,9.939723045118225
5wattantireflective,9.939723045118225
pv,8.330285132684123
high,0.7631463032948498
maintenance,2.059107682774037
265watt,9.023432313244069
quality,0.9570991644263876
snow,3.4264929342059163
silicon,5.670025595418261
stability,3.191549835960552
impact,2.77191386080178
dustoutstanding,9.939723045118225
module,4.763573312544394
irradiances,9.939723045118225
quip,9.53425793701006
iron,2.706628702507207
output,3.2433062720005337
lowlight,6.848680591759908
solar,3.872455534594741
term,4.899528948780423
freepositive,9.939723045118225
inspection,5.203524596723728
low,1.3204246307648324
polycrystalline,7.688431246511728
virtually,2.8372236893435745
glass,1.329039510614647
dirt,2.588243945910832
resistancepositive,9.939723045118225
negative,5.845378482896122
wind,3.368140047748301
loads100,8.686960076622855
enhance,2.037420536296164
withstand,2.62417204268964
defect,3.3958111995534312
cell,4.107840567834707
mc4,9.53425793701006
bonus,5.698396292547477
loss,4.242629558612819
performance,1.463560203259978
pack,2.6291728865838007
reduces,2.71825251663749
grape,6.643886179113895
bundle,5.056921122531852
long,1.3741207144942984
free,1.7535370508921406
efficiency,2.3626011142415444
approximately,3.1927235450154803
power,1.3449208743750032
chrome,2.204726851095442
temperature,1.6295540231363124
sell,1.3009318819544986
kit,1.5488870425785082
separatelyincludes,5.239242679325807
scaldingcalifornia,7.454816395330223
systemdue,9.939723045118225
regulation,3.661201620952379
york,3.971015485132858
trim,1.4886696562065311
item,1.371836739386468
r10000unbx,6.017749708836909
code,2.504285025303673
bathroom,1.710211926153767
watersense,3.5792844984844923
delta,3.7291229680935705
update,3.212890302016334
zip,3.789120276671944
confirm,3.689747802858741
within,2.604415061563917
help,0.7391300245969209
aesthetic,3.587965108548798
elsewhere,6.302136885391838
informationincludes,5.164810084543038
handlemaintains,10.632870225678168
degree,2.7127870266249343
pressure,2.1395599747252634
cold,2.616222348620365
vero,7.106509701062008
roughin,4.576086212449544
fahrenheit,4.392594380507399
water,0.7110517164573172
qualification,7.454816395330223
please,2.213289863128932
shower,2.1114858296434638
balanced,5.845378482896122
minimalistic,6.625537040445698
singlehandle,4.861429102548153
turn,2.1469613243016976
hot,2.507535138963879
universal,3.0445465483429466
restrict,3.846153275073088
modern,2.048392287456335
valve,2.342075878296814
even,1.699337929601889
keep,1.2124310159085847
faucet,1.9740038759457856
prevent,1.581760079272543
ship,1.763050273169768
multichoice,7.106509701062008
prep,4.780667745903695
system,1.024425100000114
damp,2.910635480968561
filter,2.437260658389393
every,2.009516838433541
heat,1.6621839571431856
auto,3.699447199947454
confidence,4.0746724228659
helpful,4.432361051635478
touchactivated,7.8602815034383875
plate,2.5808921467758696
cake,6.1220107191613184
air,1.5284460792935353
pizza,5.451086675386084
nuggets,9.023432313244069
dinner,5.045621567277919
room,1.063876867379626
youll,3.348049313109565
several,3.857504134741777
grease,3.811762753421704
bread,5.468084251754655
piece,1.541088189826121
fast,2.08030989042464
kid,3.527084096196897
onoff,3.146256912538214
detail,2.0874783799032524
informationspacious,7.8602815034383875
sponge,4.158979529325894
sens,5.914371354383074
preset,4.352474386717974
whisk,6.443215483651743
oven,3.671574179768002
cook,2.954543869171282
vent,2.808024534651312
sound,2.9732272711134864
bag,2.988429464121603
needsaccupop,10.632870225678168
splashescalifornia,9.246575864558276
1600watt,8.067920868216632
snap400,8.234974952879798
microwaveincluded,10.632870225678168
hood,4.018144625474408
overheat,4.648933944990978
two,1.6405614931300196
odor,2.9708726667762755
speed,2.300561873459051
track,2.956860293649281
level,2.023097852968838
get,1.6583787775137495
window,2.1781909396511736
dishwasher,3.771158885197439
cleanup,2.87539145909399
clearsingle,9.53425793701006
mesh,3.1632160527460407
hookup,3.509197440473561
basic,3.0195452461375294
chicken,5.698396292547477
reheat,5.324602528276964
whirlpool,4.379041414102696
control,1.2861649791814695
food,2.599536209798108
fit,0.9857598957654092
accommodate,2.3503872219476065
smoke,3.661201620952379
next,3.3556224990466847
pop,4.324771784168638
especially,3.514854021212836
light,0.7255898749033445
multiple,1.7308228800578913
cookedon,8.841110756450114
instal,1.705025399466467
console,5.03815884607633
chemical,2.9633749746704745
large,1.3772697222971215
require,1.04896829460683
automatically,2.877531412831668
streamlines,8.147963575890168
fan,2.44612743856465
function,2.501633675982053
range,1.770103483394373
still,3.605555711638393
excessive,5.053140399691946
turntable,5.502971510755096
simple,1.7954793701334706
unpopped,7.99381289606291
finally,5.056921122531852
kernel,7.2655743956916945
delicious,4.772084002212303
rack,2.9713431443196514
nonvented,6.263422373211148
take,2.390640334305937
family,2.423289742202591
dont,3.475913861062532
roast,4.959546958506676
interior,1.4299573695307826
meat,4.42428019958154
turntableautomatic,8.330285132684123
cfm,3.750432754680322
circulate,4.621603051274007
impurity,5.281012092202102
effortless,4.163619908882397
thanks,3.9247861418250993
steam,3.98647971083044
cooktop,4.169840768757499
release,3.2563620993519486
achieve,3.058311741475688
recirculating,5.845378482896122
cleanupcook,9.53425793701006
cycle,3.397971805363337
incandescent,2.6395878975765776
thats,3.080108141464021
nonstick,4.448721334740686
easily,1.113355405912108
school,3.672522496576861
adjust,2.498695953540265
watch,4.367569012940459
spill,3.575833243980277
ease1100,9.53425793701006
exterior,1.670094179557878
snack,5.462386230640017
hassletimesavor,10.632870225678168
cleanrelease,8.553428683998332
potato,5.862185601212504
progress,4.5214028861754905
steamsimmer,8.147963575890168
almost,3.1373282817939128
accupop,9.53425793701006
special,2.6291728865838007
adapt,4.354348801512324
steamer,5.923340024365834
open,1.626728989015258
installation,0.4507287319002634
process,2.8550775993393387
option,1.7747860034790073
1year,3.608221195224533
browningindustry,10.632870225678168
measure,2.2845691707442253
menu,6.0078974123938975
service,2.1469613243016976
sensor,3.227982650062044
watts,4.352474386717974
program,3.243924128059732
casserole,5.526924751777588
splashesrecessed,8.841110756450114
movie,5.85374673256664
worry,3.759706391465651
bake,3.794465024830825
microwave,4.480137530974065
vented,5.9323898598857525
industry,2.4896434753107246
progress4speed,8.686960076622855
cooking,3.644457043678577
cloth,3.493209889713249
builtin,2.6586815563921573
without,1.3619052318855511
kitchen,1.651062902300634
favorites,6.370190348636854
element,2.390640334305937
hinge,2.095482326976412
time,1.2939607529072783
away,2.6781468911802606
cleaner,3.535321375063376
favoriteskids,9.53425793701006
install,1.3877420282163222
allows,2.8483969899417
door,0.9279555705220456
wont,2.972284763974913
easilylimited,8.686960076622855
afternoon,5.978909875520645
remove,1.961412075250502
hotreplaceable,8.330285132684123
true,3.231638961265154
like,1.989925828956371
delivery,2.713514035017552
overtherange,6.289064803824485
plus,2.0787666802418343
suremist,10.632870225678168
safe,1.9206037935428133
let,2.336822582913468
charcoal,4.257845405850072
air90,8.841110756450114
capacity,1.9740038759457856
micromanage,8.686960076622855
warrantyconvertible,8.330285132684123
cooky,6.458482955782531
size,0.9527762557114596
onceclick,9.023432313244069
dish,3.435434871581578
harsh,3.254486512681454
convection,4.609422632717136
designsealed,9.939723045118225
direction,3.436183654843819
trackandswivel,9.246575864558276
black,1.8106954647320888
direct,2.983653905857536
attractive,2.39406905980662
lowprofile,4.590237391995787
delivers,2.435331485956985
efficient2,10.632870225678168
equipment,2.681310894522917
corrosionproofintegrated,10.632870225678168
adjustable,1.5502495953043571
2light,4.82773525676168
installationadvanced,9.023432313244069
thermoplastic,4.124101088706487
quantum,7.3747736876566865
voltage,3.5827477054091097
input,4.631455347717019
battery,2.195153235763728
damplocation,10.632870225678168
bulbs,3.428720933642229
compact,2.4931379459604983
capability,3.643534959703609
unit,1.945259381970801
list,1.9626126585350947
minute,2.323193329690442
unique,1.7472909343951877
mean,2.84881322303824
operationblack,9.939723045118225
277volteasily,10.632870225678168
upon,3.9621039048322944
impactresistant,5.53300379785397
energy,1.5923696329938848
emergency,3.995612194393712
illumination,3.6527942851164057
neededengineeringgrade,10.632870225678168
scratchresistant,5.324602528276964
led,3.5932098758160933
year,1.0658349099632511
minimum,2.2876522990017416
ceilingul,10.632870225678168
technology,1.5640934180237729
quick,1.5651308223010083
requiredtypical,9.939723045118225
nicad,6.133060555347904
application,0.9528387732945504
lithonia,4.573747030096372
head,2.027116857282451
installs,3.337135152928887
housing,2.9231133612240043
ideal,1.0040827113706523
maintenancefree,3.885283698848853
dependable,4.103451387415944
ledsdual,9.939723045118225
zincplated,4.815759065714965
point,2.5107958503159518
predrilling,5.417934468069183
washerhead,7.924820024575959
gun,3.828255705615545
bit,2.8229231392013783
gaugeuse,10.632870225678168
thread,2.4268324628993545
drillpoint,7.413994400809968
thicker,4.573747030096372
steel,0.6482175187245327
selftapping,5.691227803068864
standard,0.922118268284868
electrical,2.57771249385849
requiredfor,6.473987142318497
drive,2.5369666927170678
drill,2.6158924789159066
hvac,4.310304985750885
longzincplated,7.637137952124178
construction112,7.588347787954746
gauge,2.877531412831668
tap,3.606443416978533
headssteel,9.023432313244069
hole,1.8017425906660849
teks,6.943990771564232
applicationsscrews,7.300665715502965
90pack,9.939723045118225
hex,3.253238073068616
flute,4.490832820090812
fasteningideal,9.53425793701006
metal,1.2019495847909412
architectural,3.206321153280864
ready,1.987987673121042
informationmade,4.204764952993573
mdfcan,8.553428683998332
moisturefor,8.234974952879798
knot,4.666723486554477
add,0.6371225947167432
case,2.2245994414861183
touch,1.7185129511931534
prim,2.781598228568285
painted,4.365669677136807
use96,7.637137952124178
decorresistant,8.553428683998332
projectcalifornia,4.839856617294025
mdf,3.628896088955489
house,2.597591314533502
length,1.648301856369888
fara,5.47381492646364
decor,1.6420549594934848
preprimed,5.608989704831893
cut,1.3140342575486872
elegant,2.0917652142156182
paver,5.520882437321625
value,2.374188729413933
stake,4.037089711716857
competitively,7.077522164188755
purposesgalvanized,10.632870225678168
lengthpriced,10.632870225678168
additional,2.076648647294453
galvanized,3.705312319399852
lawn,3.1997948767795883
utility,3.0379858384616494
view,2.6781468911802606
edge,1.9333554774679769
purpose,3.309039659475852
4pack,4.922443208303299
much,2.866453327658513
recommendedcan,10.632870225678168
protection,0.8749866470008325
strength9,10.632870225678168
valley,6.178522929424661
edging,7.077522164188755
anchor,3.1367728805022126
brick,2.9137403847714367
yet,2.681663069205197
recommend,1.9023414239388072
edgingsutility,10.632870225678168
eye,3.678231360797181
designs,7.33703335967384
glove,4.335760905744233
many,1.9037966752264324
five,3.496387017087921
foot,2.054017653875204
lift,3.1769935381863443
pace,5.027068159382171
specifications3year,8.841110756450114
smoothly,4.179245226785477
laboratory,4.697976030058581
stratton,5.186132854011859
switch,2.307806532046972
see,2.316569976641321
fine,2.9159640903797803
propel,7.231672844016013
flip,4.7032810822882745
actual,3.181047989150239
prime,4.571413306750152
workwashout,9.53425793701006
j1940,6.607518534943019
retailer,6.995284065951783
attach,2.433131265047382
chamber,4.705944199707758
chokepersonal,10.632870225678168
homeowner,3.5587534094808064
condition,2.503400460893938
userfriendly,5.257591817994004
detailsgross,7.688431246511728
190cc,8.43564564834195
suspend,4.889867037868687
availableactual,7.231672844016013
hose,2.6001853497105487
gross,6.058159247174786
manufacturer,2.3259043603095946
significantly,4.7551344438985295
bladebriggs,8.841110756450114
leverrear,9.53425793701006
adjusts,4.110777427508016
connect,2.39406905980662
variable,3.742261105531002
discharge,4.2342752911429615
position,2.659370261653539
lush,4.78354544573131
blade,2.313884100286109
rpm,3.455087809482972
recut,6.701044592953843
port,3.796610948401102
engine,3.50517652633077
warranty,1.0161318475452212
lowernote,9.53425793701006
side,1.410206104013154
depot,1.031163669973323
safety,1.7391602481096595
quickchange,6.178522929424661
quickly,2.413005483765518
bagbagondemand,9.939723045118225
throw,4.550651315301723
seek,5.139808782337621
storehome,5.497071788627907
rat,2.448914508373215
lbs,2.6255031576948387
traction,4.855217902455513
mower,4.096178628086864
configure,4.800987748394652
operate,2.532708778741561
selfpropel,7.742498467782004
lawn22,8.686960076622855
personal,3.2894439965308013
pace3in1,9.53425793701006
toro,5.234707524160416
full,1.779633460932272
atomic,7.198883021193023
gas,2.623174867935248
deckquick,9.246575864558276
emission,4.071839559781596
underside,4.137604669741161
second,3.2213139378670053
know,2.6504538788504357
smart,3.115893001073848
count,4.388703325014433
itrecycler,8.686960076622855
start,2.4780826529096487
good,2.396979499749673
excellent,2.1992760581382447
recycler,7.497376009749019
front,2.161302212288207
requirement,2.998532990049849
mulching,7.688431246511728
2year,4.6926989729577375
guaranteedtostart,8.234974952879798
torque,3.5011717152112576
class,3.0686317505076777
clipping,5.53300379785397
dependability,5.324602528276964
selfpropelled,6.473987142318497
sense,3.660263974376416
system9,8.686960076622855
briggs,5.216769823473749
healthy,3.98647971083044
wheel,2.912408531078447
prove,5.156406673746658
self,4.308511263296857
prefer,4.29781597418011
manicure,6.356204106662114
plan,1.359930711945466
walk,3.901852125196086
mulch,4.432361051635478
height,2.0320714504071344
sae,5.127538689745806
download,4.136095235492307
natural,1.605011423297306
cozy,4.932426652287482
white,1.2164917702907154
complement,1.9719230706172357
rug,3.002408963894542
ceilingnot,7.198883021193023
mountain,5.720215339942117
overall,3.105076237956725
roman,4.80982433019515
decorate,3.233472142346815
comforting,8.43564564834195
dark,2.8064270902221558
season,3.2965845656568717
weave,3.581880778610124
copy,4.858318680133761
layering,7.049351287222059
simply,2.349123478572038
insulationincludes,8.147963575890168
orderedfor,6.178522929424661
click,2.9253580310778284
lactual,4.956116423409887
hardwood,2.535139652013949
compose,4.669290882059722
friendly,3.0304688900123504
mold,1.985877596727087
warm,2.160674400192667
amount,2.9732272711134864
potential,3.851812599741989
cordless,3.206321153280864
complementary,5.045621567277919
cord,2.383817951506877
slightly,2.9879508807193123
gently,4.209623262144649
outdoors,3.2087049446361404
floor,1.4487711649072132
sunlight,3.672522496576861
coastal,4.870818842897992
together,2.643987972368941
warn,4.249363590794163
hold,1.848554875775512
area,1.3364439047888572
inno,5.380596797631539
inside,2.018550323531209
coordinate,1.6118760254329052
daysbamboo,8.553428683998332
depth,2.862647021519384
buy,2.9137403847714367
cornice,6.166962107023585
fold,3.359777629678647
shade,2.318772890272363
cordsdecorating,8.553428683998332
width,1.6854542750280403
boardsdecorating,9.246575864558276
bamboo,4.426294298953241
blind,4.101992597952283
flatstick,7.924820024575959
style,0.8269955020090413
texture,2.637226621390897
beach,4.830751850301106
jute,5.39642826284822
mount,1.1453527658953526
valance,4.889867037868687
indoors,3.2538620980498645
replace,2.491680432220477
tone,3.0445465483429466
call,2.90489468357261
business,3.3243274281389783
deduction,5.765335775222586
environmental,4.100535933455819
furniture,2.1988412755227
inch,3.491625103327677
hardwarefilters,8.553428683998332
traditional,1.649430453893908
slat,4.322951947451652
want,2.8072254934581795
order,1.7813499539871065
tip,2.575492737120177
stylishly,5.615590388863245
darkweave,9.53425793701006
inaccessible,4.922443208303299
widefor,5.156406673746658
pull,2.54985030650684
versatile,2.2154973695441424
coveredshade,8.43564564834195
sunlightinstalls,8.553428683998332
lightship,8.553428683998332
alternative,3.0567728850550577
sisal,5.765335775222586
treatment,3.5229907626058976
roll,2.698356761795906
panels,6.226150978413916
guidewarning,5.03815884607633
rollup,6.701044592953843
strangulation,5.019742119290099
hazard,4.294276147474986
image,2.746788823902424
access,2.1247177789140803
casual,3.8666785110178186
privacy,3.214089342927375
consider,3.855223632043052
cottage,4.738467391413318
unhook,8.330285132684123
hook,2.7753894387356395
printable,4.5258473379359145
choose,2.18267190308621
label,3.7923236963894817
colorrolls,10.632870225678168
beautynatural,7.924820024575959
curtain,4.251054208272071
hooks96,10.632870225678168
energyefficient,3.971015485132858
lake,5.526924751777588
child,2.963841937088486
caramel,6.356204106662114
outside,2.359278427478537
hang,2.4464057962560783
oilrubbed,4.839856617294025
fitting,2.8630692296742724
biscuit,6.058159247174786
gloss,2.892205823760928
countertop,2.7012262042238584
sinksuitable,10.632870225678168
insinkerator,6.4281776062872025
stylish,2.356984556203812
installationskit,10.632870225678168
outlet,2.7804311403206587
sinktop,7.637137952124178
bronze,2.216381738383564
top,1.4040025490881023
switchadditional,9.939723045118225
sink,2.37470686414055
airactivated,8.43564564834195
installationsincludes,7.924820024575959
decorcompatible,9.023432313244069
button,2.947626617702336
matte,3.369540608201332
island,4.339450946831687
disposers,7.8602815034383875
satin,2.6947814987812166
gold,3.588837328403484
nickel,2.2161605728402534
ac,3.687819161952335
french,4.288989791551838
single,1.9033113561196
mocha,6.190218969187852
place,1.9010496427160608
rubbermaid,5.156406673746658
1step,6.38437498362881
lock,1.732321211741868
capacitycomfortable,10.632870225678168
load,2.1852414976478407
tool,1.3209665382925448
platformfolds,10.632870225678168
weight,1.8007203196752697
onepiece,4.490832820090812
stool,4.78354544573131
easyfolding,9.939723045118225
hard,2.459858913953197
anywhere300,10.632870225678168
step,2.786280250386982
feel,2.609317833273821
garage,2.5113898509274177
surfaceeasy,5.828849180944912
office,2.6467053653454413
sturdy,2.3922213623032564
standing,7.049351287222059
