,term,qfscore
0,RQFMax,1.0
1,angle,0.04161918220358299
2,bracket,0.09249213657291334
3,l,0.02602908328394949
4,deck,0.12257829238273237
5,rain,0.03286684596799927
6,shower,0.4053881569950312
7,head,0.07088480649131604
8,faucet,0.27191502940237955
9,convection,0.01372111045265989
10,otr,0.0019601586360942697
11,microwave,0.06049140721156038
12,stove,0.08401331084469162
13,emergency,0.004968774217076173
14,light,0.9135706796736108
15,mdf,0.017823768063089756
16,steele,0.0033277111729042258
17,stake,0.015635684004193826
18,briggs,0.006062816246524137
19,stratton,0.006062816246524137
20,lawn,0.07717554816064184
21,mower,0.10151798331585905
22,gas,0.25304280439440213
23,mowe,0.0016866481287322788
24,honda,0.007703879290696085
25,hampton,0.08729543693303551
26,bay,0.13461275470665998
27,chestnut,0.002233669143456261
28,pull,0.08921001048456945
29,shade,0.059670875689474406
30,disposer,0.003601221680266217
31,grill,0.10972329853671879
32,gazebo,0.009891963349592013
33,door,1.0
34,guard,0.024935041254501526
35,metal,0.1808360304508365
36,plate,0.10507361991156494
37,cover,0.23170898482016683
38,gcfi,0.0008661166066463053
39,radiator,0.003874732187628208
40,grate,0.02055887313670967
41,window,0.24374344714409446
42,screen,0.10835574599990883
43,1x1,0.008250900305420066
44,rail,0.07115831699867803
45,decorative,0.03833705611523909
46,wood,0.37092583306742033
47,beadboard,0.003874732187628208
48,paneling,0.007156858275972102
49,4x8wood,0.0014131376213702875
50,4x8,0.020011852121985686
51,wainscot,0.00442175320235219
52,chair,0.09440671012444728
53,plank,0.03861056662260109
54,panel,0.19505857683366
55,sprkinler,0.002233669143456261
56,rainbird,0.007977389798058076
57,sprinkler,0.03861056662260109
58,platform,0.006883347768610111
59,washer,0.11683457172813055
60,samsung,0.030952272416465334
61,front,0.06760268040297215
62,load,0.022199936180881615
63,upholstery,0.006062816246524137
64,wash,0.01672972603364179
65,machine,0.04189269271094498
66,steam,0.014541641974745863
67,concrete,0.06842321192505812
68,masonry,0.012627068423211926
69,cleaner,0.06760268040297215
70,etcher,0.002233669143456261
71,pond,0.007156858275972102
72,flexlock,0.0027806901581802434
73,crack,0.0033277111729042258
74,belgium,0.003601221680266217
75,block,0.04818343438027078
76,pavers,0.015635684004193826
77,ourdoor,0.003601221680266217
78,patio,0.164698910516479
79,tile,0.4401239914300041
80,insulation,0.03614897205634317
81,roll,0.05146556046861467
82,6ft,0.0074303687833340935
83,bamboo,0.01590919451155582
84,fencing,0.022473446688243606
85,balcony,0.004968774217076173
86,privacy,0.021652915166157635
87,lattice,0.014815152482107853
88,chalk,0.005789305739162146
89,paint,0.3247025573232438
90,shelf,0.11984318730911246
91,white,0.37037881205269635
92,4shelves,0.002507179650818252
93,teir,0.0005926060992843141
94,shelving,0.015635684004193826
95,hdx,0.015088662989469846
96,wire,0.16278433696494507
97,kitchen,0.26507726671832976
98,cabinet,0.4081232620686511
99,finish,0.04845694488763277
100,tiered,0.0011396271140082966
101,pantry,0.014268131467383873
102,rack,0.04326024524775494
103,plastic,0.14254455942015773
104,storage,0.133792223184574
105,steel,0.19669963987783198
106,shelve,0.028490677850207414
107,mortar,0.00907143182750604
108,tool,0.1526644481925514
109,boltless,0.0033277111729042258
110,single,0.07006427496923007
111,track,0.05912385467475042
112,husky,0.02985823038701737
113,bag,0.05146556046861467
114,impact,0.0506450289465287
115,driver,0.04845694488763277
116,drill,0.15074987464101747
117,battery,0.15868167935451521
118,power,0.07608150613119387
119,wrench,0.03751652459315312
120,pellet,0.010986005379039978
121,stave,0.01809727857045175
122,register,0.030952272416465334
123,fuel,0.0227469571956056
124,mi,0.002507179650818252
125,ventless,0.003874732187628208
126,american,0.04873045539499476
127,standard,0.0443542872772029
128,bone,0.012080047408487943
129,round,0.12914254455942015
130,toliet,0.0033277111729042258
131,cadet,0.0257555727765875
132,insulate,0.013174089437935908
133,grayson,0.0019601586360942697
134,stell,0.004968774217076173
135,fece,0.0019601586360942697
136,post,0.16086976341341114
137,green,0.04326024524775494
138,pop,0.005789305739162146
139,rivet,0.008250900305420066
140,high,0.05119204996125268
141,bolt,0.11437297716187264
142,sheet,0.06842321192505812
143,elastomeric,0.005789305739162146
144,roof,0.06432055431462826
145,coating,0.012080047408487943
146,outdoor,0.28777863882937504
147,dining,0.009344942334868031
148,cushion,0.05037151843916671
149,outdoorlounge,0.003874732187628208
150,spring,0.03560195104161918
151,outdoorfurniture,0.0019601586360942697
152,wiremesh,0.002233669143456261
153,prehung,0.008250900305420066
154,stanley,0.023840999225053564
155,kingsley,0.0027806901581802434
156,moen,0.07936363221953777
157,sink,0.28695810730728905
158,pricepfister,0.0030542006655422346
159,g135,0.0030542006655422346
160,soap,0.026849614806035465
161,dispenser,0.024661530747139535
162,melter,0.0033277111729042258
163,kraft,0.0008661166066463053
164,face,0.021652915166157635
165,fiberglass,0.03368737749008524
166,owen,0.011259515886401969
167,corn,0.010438984364315996
168,r,0.007977389798058076
169,r19,0.0027806901581802434
170,lantern,0.0320463144459133
171,ceiling,0.2232301590919451
172,remote,0.029584719879655375
173,planter,0.03067876190910334
174,pot,0.031225782923827324
175,5x5,0.0027806901581802434
176,column,0.009344942334868031
177,bazz,0.002233669143456261
178,lead,0.24729908373980033
179,rope,0.03861056662260109
180,strip,0.04873045539499476
181,rough,0.010165473856954004
182,toilet,0.17892145689930256
183,bowl,0.04353375575511693
184,delta,0.06732916989561015
185,canister,0.005515795231800155
186,glaciar,0.004695263709714181
187,toil,0.0033277111729042258
188,glacie,0.0011396271140082966
189,dual,0.0380635456078771
190,flush,0.04298673474039294
191,glacier,0.03642248256370516
192,efficiency,0.003601221680266217
193,fill,0.015088662989469846
194,valve,0.11191138259561471
195,tiolet,0.003874732187628208
196,tank,0.06021789670419839
197,lid,0.013447599945297898
198,handicap,0.008797921320144049
199,handycap,0.00031909559192232304
200,boy,0.0030542006655422346
201,tolet,0.004695263709714181
202,kohler,0.07744905866800383
203,rosario,0.0033277111729042258
204,part,0.09522724164653325
205,kit,0.25823950403428
206,heater,0.20244336053243378
207,gallon,0.057209281123216486
208,water,0.28695810730728905
209,wayer,0.0030542006655422346
210,hot,0.0629530017778183
211,cost,0.005242284724438164
212,rheem,0.01153302639376396
213,prog40,0.002233669143456261
214,plug,0.07307289055021197
215,rheum,0.002507179650818252
216,certify,0.002233669143456261
217,pan,0.03067876190910334
218,shark,0.020011852121985686
219,vacuum,0.02520855176186352
220,counter,0.04462779778456489
221,fluorescent,0.03970460865204905
222,bar,0.11300542462506268
223,undercounter,0.0016866481287322788
224,exterior,0.11300542462506268
225,double,0.11464648766923463
226,railing,0.008250900305420066
227,blue,0.05830332315266445
228,masking,0.004695263709714181
229,tape,0.06103842822628436
230,4x6,0.005789305739162146
231,treat,0.04654237133609883
232,fence,0.1715366732005288
233,black,0.1988877239367279
234,pipe,0.20654601814286366
235,nipple,0.013447599945297898
236,galvanize,0.04544832930665087
237,tee,0.02055887313670967
238,area,0.03478141951953321
239,rug,0.11574052969868259
240,9x12,0.013174089437935908
241,dishwasher,0.04025162966677303
242,mold,0.03943109814468706
243,one,0.0692437434471441
244,piece,0.03696950357842914
245,acrylic,0.01864429958517573
246,stall,0.005242284724438164
247,baker,0.0027806901581802434
248,basemetnt,0.002507179650818252
249,edit,0.0030542006655422346
250,garage,0.09905638874960113
251,floor,0.23417057938642477
252,rustollum,0.002507179650818252
253,epoxy,0.02083238364407166
254,car,0.02767014632812144
255,ramp,0.006336326753886129
256,end,0.02767014632812144
257,plexiglas,0.008250900305420066
258,melnor,0.0030542006655422346
259,ac,0.04626886082873684
260,unit,0.04708939235082281
261,air,0.2295209007612709
262,heaterconditioner,0.003874732187628208
263,room,0.026302593791311484
264,spliter,0.0027806901581802434
265,condit,0.0019601586360942697
266,conditionerheater,0.0030542006655422346
267,berh,0.002233669143456261
268,deckpaint,0.002507179650818252
269,restore,0.0016866481287322788
270,4x,0.004695263709714181
271,milwaukee,0.04572183981401286
272,right,0.03013174089437936
273,stone,0.1184756347723025
274,hole,0.05283311300542463
275,pneumatic,0.008250900305420066
276,snow,0.02329397821032958
277,thower,0.0016866481287322788
278,snowblower,0.003601221680266217
279,trailer,0.017276747048365775
280,toro,0.01809727857045175
281,blower,0.03696950357842914
282,gridlee,0.002507179650818252
283,ge,0.09960340976432511
284,adora,0.0014131376213702875
285,range,0.13816839130236586
286,base,0.14473264347905365
287,board,0.1217577608606464
288,boundle,0.0019601586360942697
289,crown,0.0164562155262798
290,molding,0.0257555727765875
291,wall,0.412499430186443
292,set,0.1277749920226102
293,7piece,0.0027806901581802434
294,aluminum,0.04599535032137485
295,plant,0.06760268040297215
296,moses,0.002233669143456261
297,cradle,0.002233669143456261
298,landscape,0.01590919451155582
299,edge,0.0443542872772029
300,intertape,0.0027806901581802434
301,duct,0.062132470255732326
302,3pk,0.003601221680266217
303,self,0.03915758763732507
304,tap,0.02055887313670967
305,screw,0.1581346583397912
306,infloor,0.0019601586360942697
307,flange,0.01372111045265989
308,sping,0.002507179650818252
309,rod,0.0908510735287414
310,clear,0.04353375575511693
311,silicone,0.010438984364315996
312,caulk,0.01864429958517573
313,windows,0.0011396271140082966
314,combo,0.05912385467475042
315,powertool,0.0014131376213702875
316,desalt,0.002233669143456261
317,rigid,0.03724301408579113
318,lithium,0.020011852121985686
319,ion,0.010438984364315996
320,fuego,0.0016866481287322788
321,chipper,0.009891963349592013
322,bidet,0.006062816246524137
323,expand,0.0019601586360942697
324,universal,0.02110589415143365
325,product,0.009344942334868031
326,pole,0.07115831699867803
327,saw,0.22213611706249714
328,ryobi,0.06131193873364635
329,trimmer,0.06732916989561015
330,attachment,0.028490677850207414
331,repair,0.05255960249806264
332,repir,0.004695263709714181
333,doctor,0.0016866481287322788
334,carpet,0.0782695901900898
335,pine,0.05119204996125268
336,straw,0.006336326753886129
337,andersen,0.006336326753886129
338,slide,0.13598030724346993
339,hand,0.0599443861968364
340,blind,0.07772256917536582
341,btu,0.012627068423211926
342,portable,0.06377353329990428
343,condtioners,0.0014131376213702875
344,computer,0.0030542006655422346
345,desk,0.019191320599899715
346,tree,0.0998769202716871
347,pruner,0.00442175320235219
348,brush,0.08948352099193144
349,pack,0.03259333546063728
350,roller,0.05830332315266445
351,insert,0.02767014632812144
352,sander,0.024661530747139535
353,inverter,0.005242284724438164
354,generator,0.03861056662260109
355,handle,0.10780872498518485
356,tubing,0.014541641974745863
357,organizer,0.01809727857045175
358,slatwall,0.002507179650818252
359,pannels,0.0019601586360942697
360,mask,0.008524410812782058
361,respirator,0.00660983726124812
362,ant,0.01153302639376396
363,killer,0.02083238364407166
364,gal,0.04626886082873684
365,bucket,0.01809727857045175
366,5gal,0.004968774217076173
367,college,0.002233669143456261
368,homer,0.0027806901581802434
369,pail,0.006336326753886129
370,lamp,0.07033778547659206
371,stud,0.012900578930573916
372,2x4,0.01809727857045175
373,sruds,0.002507179650818252
374,lumber,0.03067876190910334
375,frostking,0.0008661166066463053
376,shrink,0.008524410812782058
377,film,0.01672972603364179
378,removable,0.003874732187628208
379,weather,0.020285362629347676
380,wrap,0.007156858275972102
381,around,0.002233669143456261
382,trap,0.014268131467383873
383,moisture,0.0030542006655422346
384,filter,0.17317773624470073
385,bulb,0.23280302684961482
386,florescent,0.009344942334868031
387,fixture,0.07909012171217578
388,ballet,0.0030542006655422346
389,t8,0.019191320599899715
390,violet,0.004968774217076173
391,flourescent,0.024388020239777545
392,electic,0.00442175320235219
393,lawnmowers,0.0027806901581802434
394,closetmade,0.00442175320235219
395,closetmaid,0.020285362629347676
396,stainless,0.11902265578702649
397,frigidaire,0.009344942334868031
398,6x6,0.014815152482107853
