,term,idfscore
0,strongtie,3.7512800314307047
1,simpson,3.649195905317425
2,12gauge,5.47966988672617
3,angle,3.6119245105201934
4,premium,2.091717731814036
5,coating,4.773450624598873
6,deckover,5.821419180448228
7,1gal,3.0282111710057102
8,tugboat,9.117256046452557
9,sc141,9.117256046452557
10,wood,1.667758041069707
11,behr,2.476073876711965
12,textured,4.175613623843252
13,concrete,3.1744566713258555
14,trim,2.349912921187164
15,kit,1.1351811713713542
16,faucet,1.9349039345672938
17,vero,6.226884288556391
18,1handle,3.3396037232299
19,include,3.032756633377385
20,chrome,1.7927660671040242
21,delta,2.7456441992207
22,valve,2.409171962599487
23,shower,1.8801970203278189
24,microwave,4.0113105725519755
25,cooking,5.039718602546837
26,steel,1.0008389736583518
27,stainless,1.5608280770123035
28,whirlpool,3.461264235632704
29,convection,3.7512800314307047
30,range,2.769866836796546
31,sensor,4.09337552560628
32,lithonia,3.5565744154370287
33,black,1.168517591638946
34,fixture,3.4134735717963554
35,quantum,6.814670953458511
36,unit,3.924299195562346
37,2light,3.533759737670857
38,lead,1.7660978200218627
39,light,0.8632474558877125
40,emergency,5.288614649963462
41,case,2.0456826822410243
42,mdf,4.0868181250601205
43,flute,5.267108444742497
44,fara,4.6629087501990485
45,house,3.1770847937321247
46,valley,5.65152014365283
47,view,5.166012327871129
48,industry,3.7797179667512384
49,4pack,2.9860295569694157
50,stake,4.651347927797973
51,metal,2.2215733487046885
52,selfpropelled,5.6832688419674104
53,briggs,4.617446376122292
54,personal,5.898380221584356
55,recycler,6.920031469116337
56,stratton,4.628619676720416
57,lawn,3.661934931094855
58,toro,4.346571421986892
59,gas,2.1353213692961677
60,mower,3.500484948785985
61,pace,7.171345897397243
62,engine,4.338132553341027
63,amp,2.1409079760048075
64,variable,4.883149541855297
65,speed,3.88614742959797
66,l,2.964523351748452
67,shade,3.0793851265304184
68,bay,1.8033692148190945
69,simple,5.0742047786180065
70,weave,4.760547219762964
71,bamboo,4.1336494247442195
72,hampton,2.0671335261834973
73,rollup,6.226884288556391
74,caramel,5.898380221584356
75,disposers,8.424108865892611
76,switch,3.374252858643074
77,outlet,3.4577738306929353
78,insinkerator,5.9392022161046105
79,single,2.1141905876660942
80,sinktop,8.018643757784446
81,grill,3.3710528559124033
82,calais,6.920031469116337
83,tile,1.6954802528079094
84,fabric,4.197275120624432
85,sunjoy,6.478198716837298
86,gazebo,5.379586428169188
87,aluminum,2.2286835868871933
88,product,2.263956953266478
89,md,4.280974139501078
90,building,3.4577738306929353
91,sheet,3.5262690659416998
92,silver,2.988205836392011
93,cloverleaf,8.424108865892611
94,panel,2.324911618981747
95,overlap,8.424108865892611
96,wainscot,5.590895521836395
97,interior,2.311533493035571
98,linear,3.9187590151867306
99,popup,4.6629087501990485
100,dual,3.0651668775281395
101,head,3.327295875555303
102,pattern,4.120043772688441
103,spray,2.7253389330599544
104,half,4.786522706166226
105,samsung,4.435124819328337
106,front,2.5052150116194642
107,washer,3.3710528559124033
108,load,3.2451382569771408
109,star,3.5077842512675965
110,white,0.37022178227438785
111,energy,3.7942460673141483
112,steam,3.9814576094022947
113,quikrete,5.716058664790401
114,crackresistant,9.117256046452557
115,yorkstone,7.325496577224501
116,paver,4.735229411778675
117,basketweave,8.424108865892611
118,nantucket,5.749960216466082
119,pavers,6.121523772898565
120,patioonapallet,6.409205845350346
121,tan,4.161428988851296
122,variegate,7.325496577224501
123,radiant,4.990121661407465
124,ultratouch,7.171345897397243
125,barrier,5.022911484230455
126,xscapes,6.478198716837298
127,reed,7.0378145047727205
128,fencing,8.424108865892611
129,backyard,5.6832688419674104
130,16oz,7.730961685332666
131,whisper,5.7850515362773525
132,decoart,5.716058664790401
133,finish,3.1358418351980757
134,chalky,6.632349396664556
135,decor,3.5041279400644862
136,americana,5.47966988672617
137,designer,4.628619676720416
138,shelf,2.9248935569776844
