id,term_freqs
2,{'angle': 1.3862943611198906}
3,{}
9,{'deck': 1.3862943611198906}
16,{'shower': 0.6931471805599453}
17,"{'shower': 0.6931471805599453, 'faucet': 0.6931471805599453}"
18,{'convection': 1.6094379124341003}
20,{'microwave': 1.6094379124341003}
21,{'microwave': 1.6094379124341003}
23,"{'emergency': 0.6931471805599453, 'light': 1.6094379124341003}"
27,{'mdf': 0.6931471805599453}
34,{'stake': 2.1972245773362196}
35,"{'lawn': 1.3862943611198906, 'mower': 1.791759469228055, 'briggs': 0.6931471805599453, 'stratton': 1.0986122886681098}"
37,{'gas': 0.6931471805599453}
38,{'mower': 1.791759469228055}
48,"{'shade': 2.302585092994046, 'pull': 0.6931471805599453}"
51,{}
65,"{'grill': 2.5649493574615367, 'gazebo': 1.6094379124341003}"
69,{'door': 0.6931471805599453}
75,{}
81,{}
85,"{'window': 0.6931471805599453, 'screen': 0.6931471805599453}"
88,{'rail': 1.0986122886681098}
90,{}
92,{}
101,{'mdf': 0.6931471805599453}
105,"{'wainscot': 1.0986122886681098, 'chair': 1.0986122886681098, 'rail': 1.0986122886681098}"
106,"{'wainscot': 1.0986122886681098, 'panel': 1.0986122886681098}"
113,{'lawn': 1.3862943611198906}
114,{'sprinkler': 1.0986122886681098}
117,{'washer': 1.791759469228055}
120,"{'samsung': 0.6931471805599453, 'front': 0.6931471805599453, 'load': 1.3862943611198906, 'washer': 1.791759469228055}"
122,"{'steam': 1.3862943611198906, 'wash': 1.6094379124341003}"
123,{'concrete': 1.791759469228055}
125,{'concrete': 1.791759469228055}
127,{'crack': 1.0986122886681098}
136,{'block': 0.6931471805599453}
138,{'patio': 1.6094379124341003}
143,{'insulation': 1.0986122886681098}
147,{}
149,"{'screen': 1.0986122886681098, 'privacy': 1.0986122886681098}"
150,{}
157,"{'panel': 1.0986122886681098, 'privacy': 1.0986122886681098}"
158,"{'panel': 1.0986122886681098, 'privacy': 1.0986122886681098}"
162,{'paint': 1.3862943611198906}
164,{}
